index,상품번호,랭킹,상품명,옵션,가격,리뷰,구매건수,찜하기,쇼핑몰,배송비,중량,100g당_가격,배송비포함_가격,100g당_배송비포함_가격,타입
50,5763128946.0,12,당일도축 대구뭉티기 육사시미 한우육회 소고기 육회 생고기 250g 600g,육사시미250g+육회300g+전용 양념장3개 (+19100원),36000,239.0,546.0,297,시장마트,4000,550,6546,40000,7273,3
51,5752464740.0,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우대구뭉티기,14800,532.0,680.0,325,그립소,3500,200,7400,18300,9150,2
52,5752464740.0,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우대구뭉티기,21600,532.0,680.0,325,그립소,3500,300,7200,25100,8367,2
53,5752464740.0,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우대구뭉티기,28000,532.0,680.0,325,그립소,3500,400,7000,31500,7875,2
54,5752464740.0,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우대구뭉티기,34000,532.0,680.0,325,그립소,3500,500,6800,37500,7500,2
55,5752464740.0,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우대구뭉티기,39600,532.0,680.0,325,그립소,3500,600,6600,43100,7184,2
56,5752464740.0,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우육회,14800,532.0,680.0,325,그립소,3500,200,7400,18300,9150,1
57,5752464740.0,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우육회,21600,532.0,680.0,325,그립소,3500,300,7200,25100,8367,1
58,5752464740.0,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우육회,28000,532.0,680.0,325,그립소,3500,400,7000,31500,7875,1
59,5752464740.0,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우육회,34000,532.0,680.0,325,그립소,3500,500,6800,37500,7500,1
60,5752464740.0,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우육회,39600,532.0,680.0,325,그립소,3500,600,6600,43100,7184,1
61,5752464740.0,13,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,한우뭉티기+육회,24000,532.0,680.0,325,그립소,3500,300,8000,27500,9167,3
62,5271354325.0,14,초신선 당일도축 대구뭉티기 한우육회 소고기 육사시미 생고기 육회 250g 600g,육사시미250g(1-2인 추천) 오후3시 전까지 당일출고,25000,111.0,70.0,106,남도의식탁,4000,250,10000,29000,11600,2
63,5271354325.0,14,초신선 당일도축 대구뭉티기 한우육회 소고기 육사시미 생고기 육회 250g 600g,육사시미600g(2-4인추천) 오후3시 전까지 당일출고 (+19000원),44000,111.0,70.0,106,남도의식탁,4000,600,7334,48000,8000,2
64,4775996545.0,15,당일도축 한우 우둔살 육사시미 뭉티기 육회 250g 600g,토요일 도착 당일도축 한우 육사시미 250g + 양념장,19900,1481.0,898.0,126,바다베개,4000,250,7960,23900,9560,2
65,4775996545.0,15,당일도축 한우 우둔살 육사시미 뭉티기 육회 250g 600g,토요일 도착 당일도축 한우 육사시미 600g +양념장 (+20000원),39900,1481.0,898.0,126,바다베개,4000,600,6650,43900,7317,2
66,4775996545.0,15,당일도축 한우 우둔살 육사시미 뭉티기 육회 250g 600g,토요일 도착 당일도축 한우 육사시미(깍둑썰기)300g (+2900원),22800,1481.0,898.0,126,바다베개,4000,300,7600,26800,8934,2
67,5965222160.0,16,당일도축 대구 원조 뭉티기 육사시미 한우 육회 생고기 120g 240g,뭉티기 120g + 양념장+참기름 (1개),13900,594.0,1783.0,687,돌쇠네 농산물,0,120,11584,13900,11584,2
68,5965222160.0,16,당일도축 대구 원조 뭉티기 육사시미 한우 육회 생고기 120g 240g,뭉티기 240g + 양념장+참기름 (2개) (+11000원),24900,594.0,1783.0,687,돌쇠네 농산물,0,240,10375,24900,10375,2
69,5290907398.0,18,초신선 당일도축 한우육회 한우 대구뭉티기 당일손질 육사시미 생고기 우둔살 양념장서비스,당일도축 한우육회 120g+소스 / 1인분,9900,1483.0,1642.0,507,신선테이블,3500,120,8250,13400,11167,1
70,5290907398.0,18,초신선 당일도축 한우육회 한우 대구뭉티기 당일손질 육사시미 생고기 우둔살 양념장서비스,당일도축 한우육회 240g+소스 / 2인분 (+9100원),19000,1483.0,1642.0,507,신선테이블,3500,240,7917,22500,9375,1
71,5290907398.0,18,초신선 당일도축 한우육회 한우 대구뭉티기 당일손질 육사시미 생고기 우둔살 양념장서비스,당일도축 한우뭉티기 120g+소스 / 1인분 (+1000원),10900,1483.0,1642.0,507,신선테이블,3500,120,9084,14400,12000,2
72,5290907398.0,18,초신선 당일도축 한우육회 한우 대구뭉티기 당일손질 육사시미 생고기 우둔살 양념장서비스,당일도축 한우뭉티기 240g+소스 / 2인분 (+11000원),20900,1483.0,1642.0,507,신선테이블,3500,240,8709,24400,10167,2
73,4842570907.0,19,[양념장서비스] 대구 찰딱뭉티기 당일도축 한우 생고기 육사시미 육회,[뭉티기양념장 증정] 한우 뭉티기 150g,14500,340.0,100.0,84,테이스티포유,4000,150,9667,18500,12334,2
74,4842570907.0,19,[양념장서비스] 대구 찰딱뭉티기 당일도축 한우 생고기 육사시미 육회,[육회양념장 증정] 한우 육회 150g,14500,340.0,100.0,84,테이스티포유,4000,150,9667,18500,12334,1
75,6415679235.0,20,당일도축 한우 육회 육사시미 대구뭉티기 뭉텅이 고기 택배,1등급 한우육회 200g+소스증정,12900,20.0,68.0,34,팔도명인,3500,200,6450,16400,8200,1
76,6415679235.0,20,당일도축 한우 육회 육사시미 대구뭉티기 뭉텅이 고기 택배,1등급 한우육회 400g+소스증정 (+10000원),22900,20.0,68.0,34,팔도명인,3500,400,5725,26400,6600,1
77,6415679235.0,20,당일도축 한우 육회 육사시미 대구뭉티기 뭉텅이 고기 택배,1등급 한우육회 600g+소스증정 (+19000원),31900,20.0,68.0,34,팔도명인,3500,600,5317,35400,5900,1
78,6415679235.0,20,당일도축 한우 육회 육사시미 대구뭉티기 뭉텅이 고기 택배,1등급 한우뭉티기 200g+소스증정 (+500원),13400,20.0,68.0,34,팔도명인,3500,200,6700,16900,8450,2
79,6415679235.0,20,당일도축 한우 육회 육사시미 대구뭉티기 뭉텅이 고기 택배,1등급 한우뭉티기 400g+소스증정 (+11000원),23900,20.0,68.0,34,팔도명인,3500,400,5975,27400,6850,2
80,6415679235.0,20,당일도축 한우 육회 육사시미 대구뭉티기 뭉텅이 고기 택배,1등급 한우뭉티기 600g+소스증정 (+21000원),33900,20.0,68.0,34,팔도명인,3500,600,5650,37400,6234,2
81,6187624664.0,21,투뿔나인 특상 한우 설깃머리 설깃살 뭉티기 육사시미 생고기 250g [극진한우],없음,19800,52.0,,37,극진한우,3000,250,7920,22800,9120,0
82,5419803193.0,22,국내1% 투뿔나인 육회 육사시미 생고기 대구 뭉티기 우둔살 보섭살 설깃살 꾸리살 소고기,1.한우1++9등급 육회(300g),27900,203.0,79.0,115,질기지않소,3500,300,9300,31400,10467,1
83,5419803193.0,22,국내1% 투뿔나인 육회 육사시미 생고기 대구 뭉티기 우둔살 보섭살 설깃살 꾸리살 소고기,2.한우1++9등급 육사시미(300g) (+1000원),28900,203.0,79.0,115,질기지않소,3500,300,9634,32400,10800,2
84,5263730419.0,23,[성강한우] 소 잡는날 대구명물 생고기 당일도축 한우 뭉티기 / 육사시미 300g,8/19(금) 당일도축 예약발송,22100,13.0,,12,성강한우,4000,300,7367,26100,8700,0
85,5061435051.0,24,대구 뭉티기 600g 당일도축 한우육회 소고기육회 용 생고기 육사시미,당일도축 뭉테기600g+특제소스,43900,29.0,7.0,8,싱싱이네,4000,600,7317,47900,7984,0
86,5061435051.0,24,대구 뭉티기 600g 당일도축 한우육회 소고기육회 용 생고기 육사시미,당일도축 뭉테기250g+특제소스 (-16000원),27900,29.0,7.0,8,싱싱이네,4000,250,11160,31900,12760,0
87,,25,마장동소고기 투뿔 한우 초신선 육사시미 뭉티기 소스 무료제공 500g,얇께썰기 서울당일배달,40000,19.0,40.0,53,마장동시장 장보기.,4000,500,8000,44000,8800,0
88,5410305719.0,26,한우 육회 육사시미 생고기 뭉티기 당일도축,육사시미 300g 8/18(목) 출고,22900,877.0,438.0,331,땡큐파머스,3000,300,7634,25900,8634,2
89,5410305719.0,26,한우 육회 육사시미 생고기 뭉티기 당일도축,육회 300g 빠른 출고 (-6000원),16900,877.0,438.0,331,땡큐파머스,3000,300,5634,19900,6634,1
90,5122822833.0,27,당일도축 대구 뭉티기 한우 우둔살 250g 600g(덩어리),250g(덩어리)+양념장,19500,74.0,19.0,26,철따라농산물,4000,250,7800,23500,9400,0
91,5122822833.0,27,당일도축 대구 뭉티기 한우 우둔살 250g 600g(덩어리),600g(덩어리)+양념장 (+21000원),40500,74.0,19.0,26,철따라농산물,4000,600,6750,44500,7417,0
92,5278835485.0,28,당일도축 한우 뭉티기 육사시미 육회 소고기 생고기 대구뭉티기,한우 육사시미 300g,23900,26.0,13.0,18,농부의 바구니,3000,300,7967,26900,8967,2
93,5278835485.0,28,당일도축 한우 뭉티기 육사시미 육회 소고기 생고기 대구뭉티기,한우 육회 300g,23900,26.0,13.0,18,농부의 바구니,3000,300,7967,26900,8967,1
94,5278835485.0,28,당일도축 한우 뭉티기 육사시미 육회 소고기 생고기 대구뭉티기,육사시미300g + 육회300g (+17000원),40900,26.0,13.0,18,농부의 바구니,3000,600,6817,43900,7317,3
95,6942813754.0,30,뭉티기 한우 육회 뭉텅이 고기 마장동 축산 시장,마장동 1++등급 한우 육사시미 250g,25900,,,0,지구생활발전소,3000,250,10360,28900,11560,2
97,,32,[대구 명물] 당일 도축 한우 우둔살 뭉티기 생고기 육사시미 300g 150g,150g (-9000원),15900,212.0,117.0,162,와룡시장 황현두,3500,150,10600,19400,12934,0
98,,32,[대구 명물] 당일 도축 한우 우둔살 뭉티기 생고기 육사시미 300g 150g,300g,24900,212.0,117.0,162,와룡시장 황현두,3500,300,8300,28400,9467,0
99,5653655927.0,33,한우 육회 1등급 200g 소스포함 이유식 우둔살 뭉티기 육사시미,없음,11300,187.0,191.0,57,한우공방,3000,200,5650,14300,7150,0
100,5604876835.0,34,(주)성진한우 대구 생고기 뭉티기 뭉텅이 육사시미 우둔살 육회 고기 육회용고기 오드레기,육회(200g/소스증정) (-1000원),11960,83.0,50.0,22,성진한우.성진고기마트,3500,200,5980,15460,7730,1
101,5604876835.0,34,(주)성진한우 대구 생고기 뭉티기 뭉텅이 육사시미 우둔살 육회 고기 육회용고기 오드레기,육사시미(덩어리 200g/소스증정),12960,83.0,50.0,22,성진한우.성진고기마트,3500,200,6480,16460,8230,2
102,5604876835.0,34,(주)성진한우 대구 생고기 뭉티기 뭉텅이 육사시미 우둔살 육회 고기 육회용고기 오드레기,육회+육사시미(200g+200g/소스증정) (+10960원),23920,83.0,50.0,22,성진한우.성진고기마트,3500,400,5980,27420,6855,3
103,5077832126.0,35,대구 뭉티기 생고기 육사시미 당일도축 한우육회 소고기육회 한우우둔살 150g 300g,한우뭉티기(육사시미)150g+수제양념장+참기름,14980,268.0,37.0,14,스위트쿡,4000,150,9987,18980,12654,2
104,5077832126.0,35,대구 뭉티기 생고기 육사시미 당일도축 한우육회 소고기육회 한우우둔살 150g 300g,한우육회150g+수제양념장,14980,268.0,37.0,14,스위트쿡,4000,150,9987,18980,12654,1
105,5077832126.0,35,대구 뭉티기 생고기 육사시미 당일도축 한우육회 소고기육회 한우우둔살 150g 300g,한우뭉티기(육사시미)300g+수제양념장+참기름 (+12000원),26980,268.0,37.0,14,스위트쿡,4000,300,8994,30980,10327,2
106,5077832126.0,35,대구 뭉티기 생고기 육사시미 당일도축 한우육회 소고기육회 한우우둔살 150g 300g,한우육회300g+수제양념장 (+12000원),26980,268.0,37.0,14,스위트쿡,4000,300,8994,30980,10327,1
107,6446806233.0,36,[박판호순천한우] 한우 육사시미 뭉티기 120g,육사시미 120g + 양념장1개,11900,2.0,,1,박판호순천한우,3000,120,9917,14900,12417,2
108,6446806233.0,36,[박판호순천한우] 한우 육사시미 뭉티기 120g,육사시미 240g + 양념장2개 (+11000원),22900,2.0,,1,박판호순천한우,3000,240,9542,25900,10792,2
109,6446806233.0,36,[박판호순천한우] 한우 육사시미 뭉티기 120g,육사시미 360g + 양념장2개 (+22000원),33900,2.0,,1,박판호순천한우,3000,360,9417,36900,10250,2
110,4926918923.0,38,삼남매고깃간 광주 한우 생고기 육사시미 뭉티기 120g / 고추장 베이스 소스 증정,육사시미 120g - 1인분,11700,312.0,102.0,160,더농부마켓,4000,120,9750,15700,13084,2
111,4903594698.0,39,당일도축 삼남매고깃간 한우 육사시미 뭉티기 생고기 240g 양념장서비스,육사시미 120g 1인분(덩어리째) (-11700원),11700,135.0,48.0,33,오가닉빅마트,4000,120,9750,15700,13084,2
112,4903594698.0,39,당일도축 삼남매고깃간 한우 육사시미 뭉티기 생고기 240g 양념장서비스,육회 120g 1인분(덩어리째) (-10900원),12500,135.0,48.0,33,오가닉빅마트,4000,120,10417,16500,13750,1
113,4903594698.0,39,당일도축 삼남매고깃간 한우 육사시미 뭉티기 생고기 240g 양념장서비스,육회 120g 1인분(채썰기) (-9900원),13500,135.0,48.0,33,오가닉빅마트,4000,120,11250,17500,14584,1
114,4903594698.0,39,당일도축 삼남매고깃간 한우 육사시미 뭉티기 생고기 240g 양념장서비스,육사시미 240g 2인분(덩어리째),23400,135.0,48.0,33,오가닉빅마트,4000,240,9750,27400,11417,2
115,4903594698.0,39,당일도축 삼남매고깃간 한우 육사시미 뭉티기 생고기 240g 양념장서비스,육회 240g 2인분(덩어리째) (+1600원),25000,135.0,48.0,33,오가닉빅마트,4000,240,10417,29000,12084,1
116,4903594698.0,39,당일도축 삼남매고깃간 한우 육사시미 뭉티기 생고기 240g 양념장서비스,육회 240g 2인분(채썰기) (+3600원),27000,135.0,48.0,33,오가닉빅마트,4000,240,11250,31000,12917,1
117,5122831011.0,40,대구 뭉티기 우둔살 육회 육사시미 250g 600g(덩어리),250g(덩어리),19500,22.0,2.0,17,정한담,4000,250,7800,23500,9400,0
118,5122831011.0,40,대구 뭉티기 우둔살 육회 육사시미 250g 600g(덩어리),600g(덩어리) (+21000원),40500,22.0,2.0,17,정한담,4000,600,6750,44500,7417,0
119,6039069303.0,41,[박판호순천한우] 한우 육회 육사시미 뭉티기,육사시미 120g + 양념장1개 (+2000원),12900,2.0,,3,박판호순천한우,3000,120,10750,15900,13250,2
120,6039069303.0,41,[박판호순천한우] 한우 육회 육사시미 뭉티기,육사시미 240g + 양념장2개 (+13000원),23900,2.0,,3,박판호순천한우,3000,240,9959,26900,11209,2
121,6039069303.0,41,[박판호순천한우] 한우 육회 육사시미 뭉티기,육사시미 360g + 양념장2개 (+24000원),34900,2.0,,3,박판호순천한우,3000,360,9695,37900,10528,2
122,6039069303.0,41,[박판호순천한우] 한우 육회 육사시미 뭉티기,육회 150g + 양념장1개,10900,2.0,,3,박판호순천한우,3000,150,7267,13900,9267,1
123,6039069303.0,41,[박판호순천한우] 한우 육회 육사시미 뭉티기,육회 300g + 양념장2개 (+9000원),19900,2.0,,3,박판호순천한우,3000,300,6634,22900,7634,1
124,6039069303.0,41,[박판호순천한우] 한우 육회 육사시미 뭉티기,육회 450g + 양념장2개 (+19000원),29900,2.0,,3,박판호순천한우,3000,450,6645,32900,7312,1
125,5697382233.0,42,[미미캠핑]초신선 한우 뭉티기 150g,없음,13500,34.0,47.0,33,미미 상회,4000,150,9000,17500,11667,0
