index,랭킹,상품명,옵션,가격,중량,타입,리뷰,구매건수,찜하기,쇼핑몰,배송비,100g당_가격,배송비포함_가격,100g당_배송비포함_가격
65,15,당일도축 한우 우둔살 육사시미 뭉티기 육회 250g 600g,토요일 도착 당일도축 한우 육사시미 600g +양념장 (+20000원),39900,600,2,1481,898,126,바다베개,4000,6650,43900,7317
66,15,당일도축 한우 우둔살 육사시미 뭉티기 육회 250g 600g,토요일 도착 당일도축 한우 육사시미(깍둑썰기)300g (+2900원),22800,300,2,1481,898,126,바다베개,4000,7600,26800,8934
67,16,당일도축 대구 원조 뭉티기 육사시미 한우 육회 생고기 120g 240g,뭉티기 120g + 양념장+참기름 (1개),13900,120,2,594,1783,687,돌쇠네 농산물,0,11584,13900,11584
68,16,당일도축 대구 원조 뭉티기 육사시미 한우 육회 생고기 120g 240g,뭉티기 240g + 양념장+참기름 (2개) (+11000원),24900,240,2,594,1783,687,돌쇠네 농산물,0,10375,24900,10375
69,18,초신선 당일도축 한우육회 한우 대구뭉티기 당일손질 육사시미 생고기 우둔살 양념장서비스,당일도축 한우육회 120g+소스 / 1인분,9900,120,1,1483,1642,507,신선테이블,3500,8250,13400,11167
70,18,초신선 당일도축 한우육회 한우 대구뭉티기 당일손질 육사시미 생고기 우둔살 양념장서비스,당일도축 한우육회 240g+소스 / 2인분 (+9100원),19000,240,1,1483,1642,507,신선테이블,3500,7917,22500,9375
71,18,초신선 당일도축 한우육회 한우 대구뭉티기 당일손질 육사시미 생고기 우둔살 양념장서비스,당일도축 한우뭉티기 120g+소스 / 1인분 (+1000원),10900,120,2,1483,1642,507,신선테이블,3500,9084,14400,12000
72,18,초신선 당일도축 한우육회 한우 대구뭉티기 당일손질 육사시미 생고기 우둔살 양념장서비스,당일도축 한우뭉티기 240g+소스 / 2인분 (+11000원),20900,240,2,1483,1642,507,신선테이블,3500,8709,24400,10167
73,19,[양념장서비스] 대구 찰딱뭉티기 당일도축 한우 생고기 육사시미 육회,[뭉티기양념장 증정] 한우 뭉티기 150g,14500,150,2,340,100,84,테이스티포유,4000,9667,18500,12334
74,19,[양념장서비스] 대구 찰딱뭉티기 당일도축 한우 생고기 육사시미 육회,[육회양념장 증정] 한우 육회 150g,14500,150,1,340,100,84,테이스티포유,4000,9667,18500,12334
75,20,당일도축 한우 육회 육사시미 대구뭉티기 뭉텅이 고기 택배,1등급 한우육회 200g+소스증정,12900,200,1,20,68,34,팔도명인,3500,6450,16400,8200
76,20,당일도축 한우 육회 육사시미 대구뭉티기 뭉텅이 고기 택배,1등급 한우육회 400g+소스증정 (+10000원),22900,400,1,20,68,34,팔도명인,3500,5725,26400,6600
77,20,당일도축 한우 육회 육사시미 대구뭉티기 뭉텅이 고기 택배,1등급 한우육회 600g+소스증정 (+19000원),31900,600,1,20,68,34,팔도명인,3500,5317,35400,5900
78,20,당일도축 한우 육회 육사시미 대구뭉티기 뭉텅이 고기 택배,1등급 한우뭉티기 200g+소스증정 (+500원),13400,200,2,20,68,34,팔도명인,3500,6700,16900,8450
79,20,당일도축 한우 육회 육사시미 대구뭉티기 뭉텅이 고기 택배,1등급 한우뭉티기 400g+소스증정 (+11000원),23900,400,2,20,68,34,팔도명인,3500,5975,27400,6850
80,20,당일도축 한우 육회 육사시미 대구뭉티기 뭉텅이 고기 택배,1등급 한우뭉티기 600g+소스증정 (+21000원),33900,600,2,20,68,34,팔도명인,3500,5650,37400,6234
81,21,투뿔나인 특상 한우 설깃머리 설깃살 뭉티기 육사시미 생고기 250g [극진한우],없음,19800,250,2,52,,37,극진한우,3000,7920,22800,9120
82,22,국내1% 투뿔나인 육회 육사시미 생고기 대구 뭉티기 우둔살 보섭살 설깃살 꾸리살 소고기,1.한우1++9등급 육회(300g),27900,300,1,203,79,115,질기지않소,3500,9300,31400,10467
83,22,국내1% 투뿔나인 육회 육사시미 생고기 대구 뭉티기 우둔살 보섭살 설깃살 꾸리살 소고기,2.한우1++9등급 육사시미(300g) (+1000원),28900,300,2,203,79,115,질기지않소,3500,9634,32400,10800
84,23,[성강한우] 소 잡는날 대구명물 생고기 당일도축 한우 뭉티기 / 육사시미 300g,8/19(금) 당일도축 예약발송,22100,300,2,13,,12,성강한우,4000,7367,26100,8700
85,24,대구 뭉티기 600g 당일도축 한우육회 소고기육회 용 생고기 육사시미,당일도축 뭉테기600g+특제소스,43900,600,2,29,7,8,싱싱이네,4000,7317,47900,7984
86,24,대구 뭉티기 600g 당일도축 한우육회 소고기육회 용 생고기 육사시미,당일도축 뭉테기250g+특제소스 (-16000원),27900,250,2,29,7,8,싱싱이네,4000,11160,31900,12760
87,25,마장동소고기 투뿔 한우 초신선 육사시미 뭉티기 소스 무료제공 500g,얇께썰기 서울당일배달,40000,500,2,19,40,53,마장동시장 장보기.,4000,8000,44000,8800
88,26,한우 육회 육사시미 생고기 뭉티기 당일도축,육사시미 300g 8/18(목) 출고,22900,300,2,877,438,331,땡큐파머스,3000,7634,25900,8634
89,26,한우 육회 육사시미 생고기 뭉티기 당일도축,육회 300g 빠른 출고 (-6000원),16900,300,1,877,438,331,땡큐파머스,3000,5634,19900,6634
90,27,당일도축 대구 뭉티기 한우 우둔살 250g 600g(덩어리),250g(덩어리)+양념장,19500,250,2,74,19,26,철따라농산물,4000,7800,23500,9400
91,27,당일도축 대구 뭉티기 한우 우둔살 250g 600g(덩어리),600g(덩어리)+양념장 (+21000원),40500,600,2,74,19,26,철따라농산물,4000,6750,44500,7417
92,28,당일도축 한우 뭉티기 육사시미 육회 소고기 생고기 대구뭉티기,한우 육사시미 300g,23900,300,2,26,13,18,농부의 바구니,3000,7967,26900,8967
93,28,당일도축 한우 뭉티기 육사시미 육회 소고기 생고기 대구뭉티기,한우 육회 300g,23900,300,1,26,13,18,농부의 바구니,3000,7967,26900,8967
94,28,당일도축 한우 뭉티기 육사시미 육회 소고기 생고기 대구뭉티기,육사시미300g + 육회300g (+17000원),40900,600,3,26,13,18,농부의 바구니,3000,6817,43900,7317
95,30,뭉티기 한우 육회 뭉텅이 고기 마장동 축산 시장,마장동 1++등급 한우 육사시미 250g,25900,250,2,,,0,지구생활발전소,3000,10360,28900,11560
97,32,[대구 명물] 당일 도축 한우 우둔살 뭉티기 생고기 육사시미 300g 150g,150g (-9000원),15900,150,2,212,117,162,와룡시장 황현두,3500,10600,19400,12934
98,32,[대구 명물] 당일 도축 한우 우둔살 뭉티기 생고기 육사시미 300g 150g,300g,24900,300,2,212,117,162,와룡시장 황현두,3500,8300,28400,9467
99,33,한우 육회 1등급 200g 소스포함 이유식 우둔살 뭉티기 육사시미,없음,11300,200,2,187,191,57,한우공방,3000,5650,14300,7150
100,34,(주)성진한우 대구 생고기 뭉티기 뭉텅이 육사시미 우둔살 육회 고기 육회용고기 오드레기,육회(200g/소스증정) (-1000원),11960,200,1,83,50,22,성진한우.성진고기마트,3500,5980,15460,7730
101,34,(주)성진한우 대구 생고기 뭉티기 뭉텅이 육사시미 우둔살 육회 고기 육회용고기 오드레기,육사시미(덩어리 200g/소스증정),12960,200,2,83,50,22,성진한우.성진고기마트,3500,6480,16460,8230
102,34,(주)성진한우 대구 생고기 뭉티기 뭉텅이 육사시미 우둔살 육회 고기 육회용고기 오드레기,육회+육사시미(200g+200g/소스증정) (+10960원),23920,400,3,83,50,22,성진한우.성진고기마트,3500,5980,27420,6855
103,35,대구 뭉티기 생고기 육사시미 당일도축 한우육회 소고기육회 한우우둔살 150g 300g,한우뭉티기(육사시미)150g+수제양념장+참기름,14980,150,2,268,37,14,스위트쿡,4000,9987,18980,12654
104,35,대구 뭉티기 생고기 육사시미 당일도축 한우육회 소고기육회 한우우둔살 150g 300g,한우육회150g+수제양념장,14980,150,1,268,37,14,스위트쿡,4000,9987,18980,12654
105,35,대구 뭉티기 생고기 육사시미 당일도축 한우육회 소고기육회 한우우둔살 150g 300g,한우뭉티기(육사시미)300g+수제양념장+참기름 (+12000원),26980,300,2,268,37,14,스위트쿡,4000,8994,30980,10327
106,35,대구 뭉티기 생고기 육사시미 당일도축 한우육회 소고기육회 한우우둔살 150g 300g,한우육회300g+수제양념장 (+12000원),26980,300,1,268,37,14,스위트쿡,4000,8994,30980,10327
107,36,[박판호순천한우] 한우 육사시미 뭉티기 120g,육사시미 120g + 양념장1개,11900,120,2,2,,1,박판호순천한우,3000,9917,14900,12417
108,36,[박판호순천한우] 한우 육사시미 뭉티기 120g,육사시미 240g + 양념장2개 (+11000원),22900,240,2,2,,1,박판호순천한우,3000,9542,25900,10792
109,36,[박판호순천한우] 한우 육사시미 뭉티기 120g,육사시미 360g + 양념장2개 (+22000원),33900,360,2,2,,1,박판호순천한우,3000,9417,36900,10250
110,38,삼남매고깃간 광주 한우 생고기 육사시미 뭉티기 120g / 고추장 베이스 소스 증정,육사시미 120g - 1인분,11700,120,2,312,102,160,더농부마켓,4000,9750,15700,13084
111,39,당일도축 삼남매고깃간 한우 육사시미 뭉티기 생고기 240g 양념장서비스,육사시미 120g 1인분(덩어리째) (-11700원),11700,120,2,135,48,33,오가닉빅마트,4000,9750,15700,13084
112,39,당일도축 삼남매고깃간 한우 육사시미 뭉티기 생고기 240g 양념장서비스,육회 120g 1인분(덩어리째) (-10900원),12500,120,1,135,48,33,오가닉빅마트,4000,10417,16500,13750
113,39,당일도축 삼남매고깃간 한우 육사시미 뭉티기 생고기 240g 양념장서비스,육회 120g 1인분(채썰기) (-9900원),13500,120,1,135,48,33,오가닉빅마트,4000,11250,17500,14584
114,39,당일도축 삼남매고깃간 한우 육사시미 뭉티기 생고기 240g 양념장서비스,육사시미 240g 2인분(덩어리째),23400,240,2,135,48,33,오가닉빅마트,4000,9750,27400,11417
115,39,당일도축 삼남매고깃간 한우 육사시미 뭉티기 생고기 240g 양념장서비스,육회 240g 2인분(덩어리째) (+1600원),25000,240,1,135,48,33,오가닉빅마트,4000,10417,29000,12084
116,39,당일도축 삼남매고깃간 한우 육사시미 뭉티기 생고기 240g 양념장서비스,육회 240g 2인분(채썰기) (+3600원),27000,240,1,135,48,33,오가닉빅마트,4000,11250,31000,12917
117,40,대구 뭉티기 우둔살 육회 육사시미 250g 600g(덩어리),250g(덩어리),19500,250,2,22,2,17,정한담,4000,7800,23500,9400
118,40,대구 뭉티기 우둔살 육회 육사시미 250g 600g(덩어리),600g(덩어리) (+21000원),40500,600,2,22,2,17,정한담,4000,6750,44500,7417
119,41,[박판호순천한우] 한우 육회 육사시미 뭉티기,육사시미 120g + 양념장1개 (+2000원),12900,120,2,2,,3,박판호순천한우,3000,10750,15900,13250
120,41,[박판호순천한우] 한우 육회 육사시미 뭉티기,육사시미 240g + 양념장2개 (+13000원),23900,240,2,2,,3,박판호순천한우,3000,9959,26900,11209
121,41,[박판호순천한우] 한우 육회 육사시미 뭉티기,육사시미 360g + 양념장2개 (+24000원),34900,360,2,2,,3,박판호순천한우,3000,9695,37900,10528
122,41,[박판호순천한우] 한우 육회 육사시미 뭉티기,육회 150g + 양념장1개,10900,150,1,2,,3,박판호순천한우,3000,7267,13900,9267
123,41,[박판호순천한우] 한우 육회 육사시미 뭉티기,육회 300g + 양념장2개 (+9000원),19900,300,1,2,,3,박판호순천한우,3000,6634,22900,7634
124,41,[박판호순천한우] 한우 육회 육사시미 뭉티기,육회 450g + 양념장2개 (+19000원),29900,450,1,2,,3,박판호순천한우,3000,6645,32900,7312
125,42,[미미캠핑]초신선 한우 뭉티기 150g,없음,13500,150,2,34,47,33,미미 상회,4000,9000,17500,11667
126,44,당일도축 한우 육사시미 대구 뭉티기 생고기,육사시미 250g + 뭉티기양념 50g,23900,300,2,,,0,엄지네스토어,4000,7967,27900,9300
128,46,뭉티기 육사시미 한우 대구 뭉태기 250g 600g 육회고기 육회용 거세소 장흥 마장동,한우 육사시미 250g 바로출고(오후2시전주문건기준) (+5000원),19900,250,2,77,58,37,싼재네마켓,4000,7960,23900,9560
129,46,뭉티기 육사시미 한우 대구 뭉태기 250g 600g 육회고기 육회용 거세소 장흥 마장동,한우 육사시미 600g 바로출고(오후2시전주문건기준) (+26000원),40900,600,2,77,58,37,싼재네마켓,4000,6817,44900,7484
130,47,한우 육사시미 뭉티기 국내산 채끝 살치살 치마살 꽃등심 갈비살 한우 선물세트,한우 육사시미(뭉티기) 300g,27900,300,2,52,1,34,참좋은 제주몰,0,9300,27900,9300
