index,랭킹,상품명,옵션,가격,중량,복수 상품,타입,리뷰,구매건수,찜하기,쇼핑몰,배송비,100g당_가격,배송비포함_가격,100g당_배송비포함_가격
19,7,당일도축분 대구뭉티기 한우육사시미300g 생고기 육회 양념장제공,육사시미600g (+18100원),38500,600,1,2,967,806,321,동인축산,4000,6417,42500,7084
20,7,당일도축분 대구뭉티기 한우육사시미300g 생고기 육회 양념장제공,한우육회300g (-2400원),18000,300,1,1,967,806,321,동인축산,4000,6000,22000,7334
21,7,당일도축분 대구뭉티기 한우육사시미300g 생고기 육회 양념장제공,육사시미300g+육회300g (+11600원),32000,600,1,3,967,806,321,동인축산,4000,5334,36000,6000
22,8,한우 1등급 18종 꽃등심 새우살 살치살 육회 갈비살 등심 안심 채끝 차돌박이 국거리,1등급 한우 꾸리살 육회 300g,19800,300,2,1,2122,1675,344,건화한우다,3500,6600,23300,7767
23,9,소고기 한우 등심 안심 채끝 국거리 불고기 육회 부채살 업진살 치마살 차돌박이 10종,육회200g (+3900원),13800,300,2,1,457,507,949,한우맘,3000,4600,16800,5600
24,10,도매/식당/업소용 마장동에서 오늘 썰은 육회/육사시미 2kg [국내산 소고기 냉장],[썰어서] 육회2kg (1kg씩 개별포장),59800,2000,1,1,443,999,224,소소한형제,0,2990,59800,2990
25,11,[성강한우] 육회 밀키트 1등급 한우육회 250g+비법소스40g세트 (오리지널/매콤),1등급 한우육회250g+오리지널비법소스40g,15900,250,0,1,273,,73,성강한우,4000,6360,19900,7960
26,12,한우 대구뭉티기 육사시미 소고기 육회 생고기 300g,[가성비 1인 술안주용] 뭉티기 200g (-4000원),17900,200,1,2,2852,2470,1114,아이러브농수산,4000,8950,21900,10950
27,12,한우 대구뭉티기 육사시미 소고기 육회 생고기 300g,[가성비 1인 술안주용] 육회 200g (-4000원),17900,200,1,1,2852,2470,1114,아이러브농수산,4000,8950,21900,10950
28,12,한우 대구뭉티기 육사시미 소고기 육회 생고기 300g,[1인용] 뭉티기 300g,21900,300,1,2,2852,2470,1114,아이러브농수산,4000,7300,25900,8634
29,12,한우 대구뭉티기 육사시미 소고기 육회 생고기 300g,[1인용] 육회 300g,21900,300,1,1,2852,2470,1114,아이러브농수산,4000,7300,25900,8634
30,13,[육회도매]국내산 냉장 육회 1kg 업소용 식당용 육회택배,육회1kg(소분불가),28900,1000,0,1,60,198,46,소잡는 구선생,3000,2890,31900,3190
31,14,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육회200g,11900,200,1,1,27,54,27,전라도청년,3000,5950,14900,7450
32,14,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육회400g (+10000원),21900,400,1,1,27,54,27,전라도청년,3000,5475,24900,6225
33,14,당일도축 대구뭉티기 육사시미 한우 육회 생고기 뭉텅이 뭉태기,당일도축 육회600g (+20000원),31900,600,1,1,27,54,27,전라도청년,3000,5317,34900,5817
