,상품명,가격,리뷰,구매건수,찜하기,스마트스토어,쇼핑몰,배송비,용도,부위,중량,등급,링크
11,당일도축 한우 육회 뭉티기 육사시미 양념장 무료제공 대구 명물 오드레기,15900,1699.0,893.0,561,1,백년밥상,3500,"육회용, 구이용",,150g,,https://cr.shopping.naver.com/adcr.nhn?x=u8gPYnsqJ0l1LdHU8Z0oaP%2F%2F%2Fw%3D%3Dscb%2BVrJ3UhHcGYJlG6RShVnZIFVbF1Yrv1d44VUC9WdAA1UyhceycOwjr%2B6MqbEd%2F%2By849V63NrIvU3uGPR762tof6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWDQ0vNGSPkTkW0yhUbLn%2BMap8vbHwouCt9dVatzpcrJPCm%2FRUJh6yp8b8nOIVLWsuBju2H9vlf%2B7%2FVgVUBSeHForiPkxPAXjk2LX8wmqtKDT%2FokzuUmqQPYLDd1AxqvD4x9dAizCSjNnCzIcR1FtVnF18On0%2B4OT76dMX121gsZ4Hs%2F2PHkpmvWjL2qy1nHubrfV6rzXz3ujT%2BaUKTOvv%2BOlD2X2oqFLr%2B8z8T4IxHh3HvY%2FUzN94OzIr5wG3PfiAQsoodJ97j%2BzVgkLvIhmUAiuq7w9bfI0wadVrRRBqBNmb8bjZ7alCHNogrrRapUwTEXkK9Iwcq0j9dDTd8l7Vg0LNaUJSOsvK%2BpARfCoOy4BP6sQYvX%2ByKt4DBzpUnly1AhdVFe6t9KC%2FUy1v2DMDTApAUBeSwuNTZB9hLjYzNKcyWdLsy7vmOYeA1lzGqqgisNDQjDqHZNg3mDdUXIrSesRq6OqAU04CFxAC15PYmep7yRI57RgpI74QzeqJc%2FF0ytrwJX%2Byh4nOcIsFAqvLP%2BzZAqvl8fCVoYcIq%2BpTEdBRo1HRfPlul9ccg6AeGnreHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=82603493805&catId=50004654
12,당일도축 대구뭉티기 한우 생고기 육사시미 육회 250g,20800,4081.0,1485.0,571,0,관문시장 김수현,4000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=hYEBzrkisQ9jUqSxwu8cM%2F%2F%2F%2Fw%3D%3DshnRiMeJ%2FQxvZhbag0VdHDWrkxciJxBqvg1RKLWo4JyDVgDNrJ2WlzBl62rd8y%2BCyTfcgjEnuZqe%2FzLxU9fS9kkbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27CjnGNqyOZVnASF6Um4GZk1C9DLfL8dI8nMHZAPe3ltx8I29Zng0xhT6chls6hxk%2BIRpk%2F3naDVH141FQydqSq1JReKPpLs7eM2%2Fs8wOUAelo%2FXexda%2FUBPn9PPM7WxwG%2BnDAFNKwg7xSDm38nSoykSBvGyRhVXJcFICQ1GLIiOQ%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSeta6yZCN92yBtpuCT1G9F8qSEHrFNkb%2BLkAyG1izCSgnrXb%2B3d0QTOTIl2QL0uQODPQi9jJ8TooCa4%2BpOGSBse8SoOI%2BVdCLeke53qjjroh9nZYbuIbVbl0ILHsfAss7G3Ri%2BX6%2B6Mr05HFjypQ%2F9EElvaD2%2FEAnSHo%2FDtDNQcY1DnDXSuqK690cOAVnG9Rrc%2FrhS9BoCeRL6a9CVecYrUmpyZgDGkkKmqKL0igANhlR%2B1H4DD5Rawg0cWt37E46URnMusPaYdk2RLDI3HApYbPDjOobScww3J0fPfFBLJCa3YajwNhSwjkvao%2BmxnO1glaFndIwdNwuWmKtx1HNSCrUkiyUGZ3FpPHvE7X48%2Bhb&nvMid=83582091906&catId=50004654
13,[소잡는구선생]국내산 당일작업 냉장 육회/육사시미 300g 뭉티기 육회물회,9700,7720.0,5991.0,640,1,소잡는 구선생,3000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=OYEm82wXGCppFbjVUJtVk%2F%2F%2F%2Fw%3D%3Dsn7zuHXGN%2FfzKYWKAUR55pxCc6RdghzMq3ASU%2FtDqAiQIqpOW2PnYnvL%2BIpV9lPzX2SgFWM1U4niTU1FpTQW49B4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQncqdrd9YTvgXq%2Fwn4Tcr7zNW93AM2tty83mGTzJUSRL8eogTO0V8d%2FiixumskmHKZki5AJjRPhHi8iwfvB10V0ua0O2TX7GIDZW3de8vjU8zp4Il4vvvTXEJFtnJMS4MtLB70yiyzlNNrtsMvigqh2t4an%2FzTqhVRN5HiEzJvDPKk6v2w9jBqMGR4TTsgYaQnlII%2ByYYqWVu3SSXxcjEJdHHF9T79MHYNxDswkDp5HhVb9v8cBgN6We%2F%2F9PtYmbe8rXb%2B3d0QTOTIl2QL0uQODAHCsNubTD7%2Bb1UiDGHdAugpnG6P0QktuCtjT7R842NeSap%2BtzUVTBSCgmmWvUWEQtBv9BvST1BjelHh3KgQfSJB%2BW9l4V%2FkodLrxhhf6GcruBKpPHONPeAcntDaZt2%2BdtDjceH4Uat0Q7cM8u93xueQpssnao%2B63OBi1ntNm%2F%2F2d5bT6fUJyNAXOrT7EZQA5hXooO88jnK0cJICBBMeOyrmELFO07QEQYUyi%2Bk709RT%2F9BiuK%2BKXjCVUcneEMeoqFnbccpo3acqNZWAxM0%2FTgNRfNQiq%2BLZKKEfIAIU%2Fn6Gy1Vhq%2FH77x9Zlr1IFzyuow%3D%3D&nvMid=82457346062&catId=50004654
14,당일도축 한우 암소 대구뭉티기 생고기 우둔살 육사시미 육회 물회 캠핑고기,14800,528.0,737.0,333,1,그립소,3500,육회용,우둔,200g,,https://cr.shopping.naver.com/adcr.nhn?x=x2Wu5GqeNnIwYV8lVliS7f%2F%2F%2Fw%3D%3Dsi4YaK%2BOw53PNzQeeNDE%2Fco8Inw0T7klsfC4lYsAoU3rVgDNrJ2WlzBl62rd8y%2BCyLt2AT60wF%2FfBaGUco899yUbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27CjnGNqyOZVnASF6Um4GZk1C9DLfL8dI8nMHZAPe3ltx8I29Zng0xhT6chls6hxk%2BMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO7C%2BLVAwdfC1EETLbyWwH8eKbW1fIL7mk%2F4zxMeQ8D31IJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27ZC%2BSXUxwyLUckntucAABtRq9Tu30TRLbvQ2Zked3cnqwB8z31o1ouUxGK7maDUlWKIEPy9huh9JNuR6eleqJXs41oD%2BJk04x9tRyKi9hUN9cSleoFxZpYEh0mGGbDRSncl36m40J4cZpkaCXQq5%2FWlgvX0w4R4NU6IvvxFSnIGiKHo%2FyT16736pMtPCEEvfx%2Ba1jLQOVNybbQbS5UcUfuIx2EDdtBEOqUyYEhbnfDxefzdVKFUBJZQIF7Z1dJZQ%2FA9E55JJzOT74xdn1HKWMYzkQSHPAcPC60NtocUp%2FTmjOkzT5LB0McRgapzqJ2pXHGDJgNOnsgO1K55hEPma%2FmRS47are6DQWgFLeIiPNaPN35NL83boeaPq%2FkTw%2FZg%2FcxyAhEKTy%2B0Zvtn8oYxIR0Q%3D%3D&nvMid=83296964154&catId=50004654
15,당일도축 삼남매고깃간 한우 육사시미 뭉티기 생고기 120g 양념장서비스,11700,2106.0,454.0,253,1,오가닉빅마트,4000,육회용,우둔,,,https://cr.shopping.naver.com/adcr.nhn?x=WGIFcuNxklsL4HGGSz0CG%2F%2F%2F%2Fw%3D%3DscKAH3L%2FSiQeqJFPCGHl3qScFxyfyXEAr6%2Fh9YbWFZPwA1UyhceycOwjr%2B6MqbEd%2FZ1dhnjc27esMC2057rIQvtof6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWDQ0vNGSPkTkW0yhUbLn%2BMap8vbHwouCt9dVatzpcrJPCm%2FRUJh6yp8b8nOIVLWsuBju2H9vlf%2B7%2FVgVUBSeHForiPkxPAXjk2LX8wmqtKDQzrr4dgAutFrzeS9LMMamO%2B%2BPOHPfT22YjGBf7N%2ByJ9l18On0%2B4OT76dMX121gsZ4Hs%2F2PHkpmvWjL2qy1nHubbbR20hlRWSmU28NGyf4n5TdlkhJ%2F6jKD%2BZ%2BlyWrIuULHvY%2FUzN94OzIr5wG3PfiA%2BF41ZNtmFeFru862wwCTGKT3im3MYYc94r7gwZTy5W%2Bb8bjZ7alCHNogrrRapUwTaKyfsyQ4paFFQUuSJn5RNesi7nZyXHrMLvxBWWoRkOIdrwBYpeG3%2BPHEGoeKJM9M6MIrCbr1RvlJqmv9m30nKOB8ob455J%2FHKgecLq4t6KWCoCQvUH78mPX60HF27Q8%2BX%2FkJ%2FEeERgNmzCayZcZ3OWpgjAph3A7ld1lpRN0S7uQWffsgvBvMyCL%2FLhJ8EQqkPw2LppO%2BphkrpdZ6J9S20JanD7R3ZhBjpgtxMNIm6fxvU2Y6hEEwGxc1AZfON9sL4VRAH%2BsMDObarUodGweR8Q%3D%3D&nvMid=82404330878&catId=50004654
16,초신선 당일도축 대구뭉티기 한우육회 소고기 육사시미 생고기 육회 250g 600g,25000,110.0,72.0,100,1,남도의식탁,4000,육회용,우둔,600g,,https://cr.shopping.naver.com/adcr.nhn?x=1bLIjgAw4jy5jcFBnoCDzP%2F%2F%2Fw%3D%3DsLwXWTYfJK1gHxYOfRou6S5osHxK9%2FPjGhh3JuFpGvooIqpOW2PnYnvL%2BIpV9lPzXkahype8tSzjXl8lsQiSkwx4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQncqdrd9YTvgXq%2Fwn4Tcr7zNW93AM2tty83mGTzJUSRL8eogTO0V8d%2FiixumskmHKZki5AJjRPhHi8iwfvB10V0ua0O2TX7GIDZW3de8vjU8wzsGsdZbp9x3i0euKTYMMK9WgGhtxHD8BlajEvBzgUyt4an%2FzTqhVRN5HiEzJvDPKk6v2w9jBqMGR4TTsgYaQnlII%2ByYYqWVu3SSXxcjEJdAsjVkE2UTnntDl95abvqkzxx7zjyOexUszjZvVI8%2BVWrXb%2B3d0QTOTIl2QL0uQODPdR%2BIgD9jaXZX%2BXDH%2Baing8lEUjlD0YCObkdcSGkMzFeaM%2FiU5bLhErlAgN3c250E%2BL5g3L7uJs1RwySzWN1oVvo1EZaQtcjJsDQWrgJxWs%2F%2BNM8JDb%2ByvmBP3m%2FMyWxcrzwdeT%2BYOYnoEzqkmfCj2UaN%2FKlPwXMyOjDBxUmVk8oaBidGxMHFuiOFJ3YFkhQavMhZs7%2F7XSdxBz0LeuwF%2B2ecwzh7mGmb7yyDN%2Fqf9i2MsCiHEf8GKVp%2B8Q%2BD0di2kAlS6HPQAsVnsiMbbm5Ym%2Fca6g%2BKRLyFhUOrLCYpFhV3OdHgSE8LoEjTx9zpNPbFaRsOtQUnaEEbxBoHxZXOc%3D&nvMid=82815877101&catId=50004654
17,[소잡는구선생]국내산 당일작업 냉장 육회/육사시미 300g 뭉티기 육회물회,9700,7720.0,5991.0,1531,0,마장동시장 구복출,3000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=apTumV0GR7NtxA%2BqcPPas%2F%2F%2F%2Fw%3D%3DspoCDOwKoqPGRE8R1l%2BxTj5xh8BhP%2FHgWMkWj2Y%2BBaO3VgDNrJ2WlzBl62rd8y%2BCybAj3ugoZbabsoX%2BEWXXSzUbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27CjnGNqyOZVnASF6Um4GZk1C9DLfL8dI8nMHZAPe3ltx8I29Zng0xhT6chls6hxk%2BIRpk%2F3naDVH141FQydqSq1JReKPpLs7eM2%2Fs8wOUAekyHfPYga4B0NSJyvAffkt56GG%2BPpun%2Fllbgf3PgCxOeiBvGyRhVXJcFICQ1GLIiOQ%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSehVtNXtu4e6petA%2BtHNN%2B5Bb9v8cBgN6We%2F%2F9PtYmbe8rXb%2B3d0QTOTIl2QL0uQODJu%2BAN76lOP%2Fn7Ao4zDZXi4pnG6P0QktuCtjT7R842NeSap%2BtzUVTBSCgmmWvUWEQtBv9BvST1BjelHh3KgQfSJB%2BW9l4V%2FkodLrxhhf6GcruBKpPHONPeAcntDaZt2%2BdtDjceH4Uat0Q7cM8u93xueQpssnao%2B63OBi1ntNm%2F%2F2d5bT6fUJyNAXOrT7EZQA5kgXowxzQLFP9ZIaE%2BSrDirmELFO07QEQYUyi%2Bk709RTgxp01MHeyXspzPaESk%2BF0mdXCkSIDR0z%2BpQ48KGCV2nzQIdqBVYLdkGtXcb0iSkDy1Vhq%2FH77x9Zlr1IFzyuow%3D%3D&nvMid=82501791302&catId=50004654
18,당일도축 한우 우둔살 육사시미 뭉티기 육회 250g 600g,19900,1453.0,903.0,127,1,바다베개,4000,육회용,우둔,250g,,https://cr.shopping.naver.com/adcr.nhn?x=3rVunNNU3cuUL1mNfXD6%2F%2F%2F%2F%2Fw%3D%3Ds3WEXNnSI7B9u%2FPF0HC4v2POzQq2yckgJM%2F%2F8EifvPbnVgDNrJ2WlzBl62rd8y%2BCygZqu08xlPf4v4sQNA6nxTEbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27CjnGNqyOZVnASF6Um4GZk1C9DLfL8dI8nMHZAPe3ltx8I29Zng0xhT6chls6hxk%2BMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO43ppMmYOW2P%2FiU6v7s8VmR2q66X4tgurdq%2BYfKLrQvOoJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27BW36r4QZshREfg%2B3vq7RNpMbLaKkdQNdE7dYcyD15jS0ztDuj4HhVMyKMmakFLbKKIEPy9huh9JNuR6eleqJXmkEuZEyHv69yrG0DxxFaTZcSleoFxZpYEh0mGGbDRSncl36m40J4cZpkaCXQq5%2FWiqgcssEZbQpI6TFo17g6vnE9nUbMcDCc4FecW4pInrZHIAFfKKlccTuy9CjjqQTmygEAMD6tBMPnRRk9ZKz9WI7KqWLJgOjvll8hQkaKa9Sg64ApXpFcbUizTdcku%2BIF0jg%2FhUx%2FPS6Tf3Ml3OSYo3tXiJxX1dA2gJQl6wZzQv0%2F5Ak%2FPbJr0lzOWWan3qia2hopkeKUdu5q4dSKA0zkoA%3D&nvMid=82320518766&catId=50004654
19,"대구 뭉티기, 당일 도축 한우 육사시미 육회 최고선도 250g / 600g",41000,32.0,8.0,1,1,식탁의정석,4000,,,,,https://cr.shopping.naver.com/adcr.nhn?x=7PhFDvbXw3VpEhsJ3T%2BE%2BP%2F%2F%2Fw%3D%3DskReonZ9ATLADSNc68UXldQxV7owFccl%2Bki8QhMyPAKjVgDNrJ2WlzBl62rd8y%2BCyna587Bjuxxg%2BmdazQAQ2P0bAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27CjnGNqyOZVnASF6Um4GZk1C9DLfL8dI8nMHZAPe3ltx8I29Zng0xhT6chls6hxk%2BMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO576Dm93cvz7ki2qk9P7y%2Bv%2BG0VGD434I90RBkLzn2tBIJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27ZC%2BSXUxwyLUckntucAABtTiBL0H3PtRzv0VH%2Fqv%2F6jM0UufkOP4tHUH28ZujJUnhmXDmIOOB6kamF9uF35YumO6ISLBspq0e1GxI7OYk07GxakCWBHfhoaD0CtF4xRJ0FidvVfram5b1Olp2%2BlC173qcYgYKTzXa90wuz7C%2FCIIAwESx9UfRGSP%2BoiOEx0MKW1OwrjuC7aUR151o5pqgPUgw67Tr%2FhjB8sEokzPWvonc4YyA5bjplEeyWZBkczi9E1Qbfn8FdvdJCAAZThCD3qvtUBvfoSsQPvEM6ZWUZTo5FDLO%2B0ylF7jLO1YXSE%2B0WqL0uNw5s704BclKotK29B8GH4ZrOWdNBLGwKWrdu5iFbDf4gHI5rSMJU1BWcIOg&nvMid=82272332314&catId=50004654
20,당일도축 한우육회 한우 대구뭉티기 당일손질 육사시미 생고기 우둔살 양념장서비스,9900,1447.0,1697.0,491,1,신선테이블,3500,"육회용, 구이용, 스테이크용",우둔,120~240g,,https://cr.shopping.naver.com/adcr.nhn?x=RwMU%2Bs0o5n586D9ElrpnHf%2F%2F%2Fw%3D%3DsN2hF%2FyD7TUI9ZVmtx1WcAXWw9CrWKPAAtIcawtsGW%2BHVgDNrJ2WlzBl62rd8y%2BCySineFQd2hIfQgUVFKD8YvEbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27CjnGNqyOZVnASF6Um4GZk1C9DLfL8dI8nMHZAPe3ltx8I29Zng0xhT6chls6hxk%2BMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO6PJTsFfyBfkW4CBngZfte5QMvX8U6x0khlc92eBe841YJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27ZC%2BSXUxwyLUckntucAABtW932FPMosWgV%2FFPFWJCzrkI7hC1muiAK%2FuzhMiw7ls2KIEPy9huh9JNuR6eleqJXrOxesFpBxvMfOeilrvcEapcSleoFxZpYEh0mGGbDRSnzbCEp6kezQT8xPtDpADbvMGH7C6kG4LPGrKEGUyS8VlVXL7xzfMB4rD6awvjsVA%2BvBMqf7gTeXaLhSjiafZwvGqOyXdc1D%2FRkyPrNrC%2FHEYyCy7KPI1bcXHF2ZsYK4%2FCvaIblhtxT9pRG9alSOHIiz0umLOWtbOzOGwrePv9wz43wa9Xh9Io%2FJWOm18ZkORdkAlOKwPahCEyYd9E%2BlamjgtYOOY32IauZ7nnk%2BES%2BZQyYsOLTlhmowwS1BtlSSNwsbxsM016Bi%2BrbgMcre4bc4KoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=82835399637&catId=50004654
21,한우 육회 육사시미 생고기 뭉티기 당일도축,22900,872.0,457.0,338,1,땡큐파머스,3000,육회용,"우둔, 기타",300g,,https://cr.shopping.naver.com/adcr.nhn?x=pxBX4sVdpFTHUcF3V7%2B5%2FP%2F%2F%2Fw%3D%3DsWlp%2B95FMOGY7YGlBroPvGMWSSDGL5ojz3VN8itrlMJ8A1UyhceycOwjr%2B6MqbEd%2FEzgg3A7ZB5Wfb39yM8ropdof6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWDQ0vNGSPkTkW0yhUbLn%2BMap8vbHwouCt9dVatzpcrJPCm%2FRUJh6yp8b8nOIVLWsuBju2H9vlf%2B7%2FVgVUBSeHForiPkxPAXjk2LX8wmqtKDT1dXoB0hAALvYlqIvkZtr2nPt1UfYqmn2LJ0NVdEOQ3F18On0%2B4OT76dMX121gsZ4Hs%2F2PHkpmvWjL2qy1nHubKWv8uOLJ9LLrB%2BYzLXom0mU%2FHvJFu3o2yp6PgYoabh3HvY%2FUzN94OzIr5wG3PfiA5g3Qc8tFfO8jdnl%2B68hWyYw1IkwoLdAvjA8hG41cWPqS40WiySVeZEaD5f8PRVttoe21UYZ7XoHDuyeVmILkqSiNJh5gllO8c2PoyrQ8t2H0UpKx3Ms5pPFYuec%2BQypYibgnOVOt2q6gwcbC0eLs67qDjro8wTtQCY2Fmi7xx2TAwCCO2vpkokC1ja2yxsY7ijwUdpwRqcjHs5K7ke7GlcY%2FDtYKhiPtb9N8XkYWkzeFrlsDRDA8zPat12bQ80aR5Hv1T%2FoDPeAT2ZD%2BWCfnsQ%3D%3D&nvMid=82954799432&catId=50004654
22,[성강한우] 소 잡는날 대구명물 생고기 당일도축 한우 뭉티기 / 육사시미 300g,22100,13.0,,12,1,성강한우,4000,육회용,우둔,300gg,,https://cr.shopping.naver.com/adcr.nhn?x=D5A8KuvSc7dwvcV6oD92Tv%2F%2F%2Fw%3D%3Dsw%2FZ6tmvoLBKqK7U8vFJd2HxuVcyjgsrfD301Aylt2SUIqpOW2PnYnvL%2BIpV9lPzXdyEvWfXXKfgXAQ1c2S%2B1Mx4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQncqdrd9YTvgXq%2Fwn4Tcr7zNW93AM2tty83mGTzJUSRL8eogTO0V8d%2FiixumskmHKZki5AJjRPhHi8iwfvB10V0ua0O2TX7GIDZW3de8vjU8wzsGsdZbp9x3i0euKTYMMKhvehntxTzweK%2B0JHK9sOTt4an%2FzTqhVRN5HiEzJvDPKk6v2w9jBqMGR4TTsgYaQnlII%2ByYYqWVu3SSXxcjEJdItvKAz0VNZvuspWwNfQfJXD%2BovPMVl9IWDjmhR3nFHIrXb%2B3d0QTOTIl2QL0uQODMA6Ko1TttkEERiCWjlTDA4pnG6P0QktuCtjT7R842NePX9pJWr0Sb2NdbDMnn3bR9ymRqdVgAreFU6sJGG51pMTIAL3Fxj9D5yh1z7cwbA5SFkImKQOql7NzGx%2FVPQyKbmrbVUEP1iYhlCNARug5kGILHEJwS1NYkEIkpfwANLkoaBidGxMHFuiOFJ3YFkhQXfzYAJnSusXcHCVDDFb5Udw2gMuNcI66WH76doYZxfuLRlJ8xIU5W9CI5qXCClAAR6lOaBZuJVMH1sMUP0IDmeHkYqgRJ50JTfMQylTZIyBV3OdHgSE8LoEjTx9zpNPbFaRsOtQUnaEEbxBoHxZXOc%3D&nvMid=82808252981&catId=50004654
23,당일도축 대구 원조 뭉티기 육사시미 한우 육회 생고기 120g 240g,13900,592.0,1803.0,687,1,돌쇠네 농산물,0,육회용,우둔,"120g, 240g",,https://cr.shopping.naver.com/adcr.nhn?x=6Lsj8QalFp25jQ3TsOqOdf%2F%2F%2Fw%3D%3Dseb6SmrhQ5h9tcApTbw0H%2FmpAgc0OsQHE0JGvvWsXvkPVgDNrJ2WlzBl62rd8y%2BCy3rz39QxFfnaW2jXji8eBY0bAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27CjnGNqyOZVnASF6Um4GZk1C9DLfL8dI8nMHZAPe3ltx8I29Zng0xhT6chls6hxk%2BMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO4NiriT7p1aj9lDPXGixsGMzKxGbiiQyTMjWvjr44lRgYJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27ZC%2BSXUxwyLUckntucAABtaWuHOtVI5lrn4vrHv6aPNBtVU7yREli9nmtdkjKXNGvKIEPy9huh9JNuR6eleqJXm4nNar4nrEP8pbmE0cjMXNcSleoFxZpYEh0mGGbDRSn%2BUf%2F5u3ckttpF8OkwYMaHzB%2Fj5SLeqGf5b8fYDeHm%2B9R%2Fm0XIUkde28D77jnVElmnij7g%2Fi0Z69rh1qftIF68QV6dFg66f3XCzNheZR3LCY8YyayA2PdokANI9TYQH6ZYn4QKrCTiiic5SvjcZHK4uYQsU7TtARBhTKL6TvT1FN3LVWRwHXaXT0nLdSTCYI7vHYPT4Adq%2BFBXxQzzfEkrhtGwjOWjzzxTof4Z7cwRLLLVWGr8fvvH1mWvUgXPK6j&nvMid=83509721648&catId=50004654
24,당일도축 대구 원조 한우 뭉티기,13900,1636.0,,10,0,돌쇠네농산물,0,,,,,https://cr.shopping.naver.com/adcr.nhn?x=nTDCulq2hNFAtXvjutLZZf%2F%2F%2Fw%3D%3Ds2Fcgsn0voEYLjqoRzC%2FczIZ4YUY%2BHBqseHCFAe2nhD%2FVgDNrJ2WlzBl62rd8y%2BCyYe%2BUCRgLUE8uNInMmmHEK0bAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27CjnGNqyOZVnASF6Um4GZk1C9DLfL8dI8nMHZAPe3ltx8I29Zng0xhT6chls6hxk%2B75zNGi8ie%2BeC6o7Uss%2FFObaqAHkTP3jij7U1J3KpjHKNueBwwd4QIwslRiG4mxfhuc8MJLBxZQAFFf%2BTqiIcequKWQN4b7WstTXVRp4V%2Fd2Kx7G3krbJiQXzryuwwOqJn5ntzbXg7E4jhbAgwUohs09KEG05r7eWkAXJyl70bo7HvY%2FUzN94OzIr5wG3PfiAL8FSqqcXJnRhV2QzUaN7XToEm6ZJ8FEsycQw14O%2F%2FQOb8bjZ7alCHNogrrRapUwTJSA57KomDq8KaO78XkubciH2nwQT71IP64J8FpmTIFug2nQxtVlL9uk1AXZN1rVKtaHyO6li1kSnNNqwCqav3YKxG3bX4pJ4MmQ%2FBWt9%2F9ywg34jyQ405XyEgHxg73pxYkHCHymwVNbYHPdVk7xXK8%2BXoXmmZcR0jWqbObLwvJ%2BCqA6%2BrrPkSkQjk3bFq%2FUy&nvMid=27441162750&catId=50004654
25,당일도축 한우 육회 육사시미 대구뭉티기 뭉텅이 고기 택배,12900,9.0,42.0,18,1,팔도명인,3500,육회용,"우둔, 앞다리",120g,,https://cr.shopping.naver.com/adcr.nhn?x=v4DgYXRt%2F2TjXXCBtaf6Zv%2F%2F%2Fw%3D%3Ds6lKPBQvqeKrQ%2F%2BTjmRB%2FjWir8%2FQQgYIbIPEcKHpsPNjVgDNrJ2WlzBl62rd8y%2BCyqxs9nifpkPlZjlFX%2Fgw%2BrEbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F27CjnGNqyOZVnASF6Um4GZk1C9DLfL8dI8nMHZAPe3ltx8I29Zng0xhT6chls6hxk%2BMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO4YmdgTFNZuFWHuTY2WP1tXZqdx9%2F67w6dKX%2BR3d4KvqIJFc0Uf%2BSGT%2BYme1K%2F%2BeSkQhkkHXK4%2FmSRy5icYE%2F27BW36r4QZshREfg%2B3vq7RNpODTapv%2Bl8S6zZQ62RztX1YUQG7kPvaQHgLCwvO7Wy5KIEPy9huh9JNuR6eleqJXvZEp87pxXhyCgJrKjxyzVxcSleoFxZpYEh0mGGbDRSncl36m40J4cZpkaCXQq5%2FWgV8ba6V7idwCJa8%2FKEjFj6hAAWoqONmsYoqF5L%2BZPqe%2FsMR26cFsJlyvoAYQZqEp8SjE%2FDu0LbSoSKUknfbFq7T70eqt0c3RsUoMpmr0v1yZcz1rAqMjD8genhUnPuXRawa9JlmckDbJAJUEGvcfEFeqnMkVANeLBXE1gTIz6wmZ0J%2FSoK06%2BAvGonFRNbeS6HIce1HhM%2B2B666a0GLmp4dHI8FZtQVGFZJxOyBDKc%2B&nvMid=83960179568&catId=50004654
